decision_date,decision_date_time,pc1_scaled,cashrate_change
2001-04-04,2001-04-04T09:30:00Z,-0.10970970424258635,-0.5
2001-05-02,2001-05-02T09:30:00Z,0.03957100178216357,0
2001-06-06,2001-06-06T09:30:00Z,0.055920919859941,0
2001-07-04,2001-07-04T09:30:00Z,-0.005032682626459916,0
2001-08-08,2001-08-08T09:30:00Z,0.014644495922937236,0
2001-09-05,2001-09-05T09:30:00Z,-0.04545175266385343,-0.25
2001-10-03,2001-10-03T09:30:00Z,0.09423435942558431,-0.25
2001-11-07,2001-11-07T09:30:00Z,2.541198834543729e-4,0
2001-12-05,2001-12-05T09:30:00Z,NA,-0.25
2002-02-06,2002-02-06T09:30:00Z,NA,0
2002-03-06,2002-03-06T09:30:00Z,NA,0
2002-04-03,2002-04-03T09:30:00Z,NA,0
2002-05-08,2002-05-08T09:30:00Z,NA,0.25
2002-06-05,2002-06-05T09:30:00Z,NA,0.25
2002-07-03,2002-07-03T09:30:00Z,NA,0
2002-08-07,2002-08-07T09:30:00Z,NA,0
2002-09-04,2002-09-04T09:30:00Z,0.0037156736375764054,0
2002-10-02,2002-10-02T09:30:00Z,-0.006926104167959098,0
2002-11-06,2002-11-06T09:30:00Z,2.0721659459029562e-4,0
2002-12-04,2002-12-04T09:30:00Z,-5.586030224631047e-5,0
2003-02-05,2003-02-05T09:30:00Z,0.009373839131875592,0
2003-03-05,2003-03-05T09:30:00Z,0.03133936142697696,0
2003-04-02,2003-04-02T09:30:00Z,0.018775061067236875,0
2003-05-07,2003-05-07T09:30:00Z,0.023416575233423706,0
2003-06-04,2003-06-04T09:30:00Z,0.00855034407191082,0
2003-07-02,2003-07-02T09:30:00Z,0.09432148213028788,0
2003-08-06,2003-08-06T09:30:00Z,0.025475051022883173,0
2003-09-03,2003-09-03T09:30:00Z,0.002294966055609593,0
2003-10-08,2003-10-08T09:30:00Z,-0.0038162945355919888,0
2003-11-05,2003-11-05T09:30:00Z,0.16153291849137924,0.25
2003-12-03,2003-12-03T09:30:00Z,0.04254475879847747,0.25
2004-02-04,2004-02-04T09:30:00Z,-0.042118289063123086,0
2004-03-03,2004-03-03T09:30:00Z,-0.02761952783383812,0
2004-04-07,2004-04-07T09:30:00Z,-0.011846904398354898,0
2004-05-05,2004-05-05T09:30:00Z,-0.040312276820312305,0
2004-06-02,2004-06-02T09:30:00Z,-0.0053552467593957,0
2004-07-07,2004-07-07T09:30:00Z,-0.005710547857277736,0
2004-08-04,2004-08-04T09:30:00Z,-0.016662670702285907,0
2004-09-08,2004-09-08T09:30:00Z,-3.3454466839381565e-4,0
2004-10-06,2004-10-06T09:30:00Z,1.4596836942638145e-4,0
2004-11-03,2004-11-03T09:30:00Z,-0.0031125690525634813,0
2004-12-08,2004-12-08T09:30:00Z,5.511593725082169e-4,0
2005-02-02,2005-02-02T09:30:00Z,-0.018399255880963576,0
2005-03-02,2005-03-02T09:30:00Z,0.011146029040268545,0.25
2005-04-06,2005-04-06T09:30:00Z,-0.10347105982667908,0
2005-05-04,2005-05-04T09:30:00Z,-9.123803677232123e-4,0
2005-06-08,2005-06-08T09:30:00Z,5.511593725081114e-4,0
2005-07-06,2005-07-06T09:30:00Z,-0.0019030874490035654,0
2005-08-03,2005-08-03T09:30:00Z,-3.7912081120264096e-5,0
2005-09-07,2005-09-07T09:30:00Z,8.466681788254753e-4,0
2005-10-05,2005-10-05T09:30:00Z,0.004468300269708393,0
2005-11-02,2005-11-02T09:30:00Z,0.0010011739429545868,0
2005-12-07,2005-12-07T09:30:00Z,7.353433603935684e-7,0
2006-02-08,2006-02-08T09:30:00Z,-0.0016143570359957416,0
2006-03-08,2006-03-08T09:30:00Z,8.15979010934688e-4,0
2006-04-05,2006-04-05T09:30:00Z,0.0030225756680828594,0
2006-05-03,2006-05-03T09:30:00Z,0.08895147916402284,0.25
2006-06-07,2006-06-07T09:30:00Z,-3.750517933997153e-5,0
2006-07-05,2006-07-05T09:30:00Z,0.003003520940261623,0
2006-08-02,2006-08-02T09:30:00Z,0.0013960179688153778,0.25
2006-09-06,2006-09-06T09:30:00Z,7.303481121148133e-4,0
2006-10-04,2006-10-04T09:30:00Z,-1.5399072884777828e-4,0
